"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.26a.000405",-3.6382725868867,0.0017492317904238,28,0.00271224975585938,20,20,0.51961483088302,0.767763943593713,0.753060932019481
"mmu.miR.26b.000407",-2.42066379505376,0.0256758229301239,46,0.026641845703125,20,20,0.841578456112796,0.804299066742509,0.762199547479455
"mmu.miR.27a.000408",-4.2121498647213,0.000869759864388657,7,0.00115966796875,16,19,0.216336323240549,0.422110540752931,0.375013489541851
"mmu.miR.27b.000409",-1.77042610901779,0.0935906452479633,50,0.0728340148925781,19,20,0.206126221698621,0.819090844409572,0.786209237573476
"mmu.miR.28.000411",-1.32764935555031,0.200886568698335,70,0.332065582275391,19,20,0.25221445591848,0.830517609717426,0.822166290952471
"mmu.miR.29a.002112",-2.02612011678507,0.057026216622179,43,0.0192337036132812,20,20,0.00010968271735787,0.606679634742702,0.637042004193354
"mmu.miR.29b.000413",1.33873881230097,0.205465970270162,63,0.243896484375,16,17,0.668198416873907,1.28636976131446,1.26656686988328
"mmu.miR.29c.000587",-2.43072417581245,0.0251422614205566,44,0.021484375,20,20,0.99270206831908,0.834639074096966,0.850452819531885
"mmu.miR.301a.000528",1.27689953964031,0.217023178426027,149,0.105398178100586,20,20,0.250829627687673,1.18751564924338,1.15290865035572
"mmu.miR.301b.002600",-0.110398821035412,0.913250880189898,106,0.985435485839844,20,20,0.20656746236115,0.988629821137458,0.950782600557467
"mmu.miR.30a.000417",-3.93707520254626,0.000884631835745584,21,0.000850677490234375,20,20,0.696767809972162,0.65509114482056,0.628854411377197
"mmu.miR.30b.000602",-0.846409030118254,0.407859111746229,75,0.277355194091797,20,20,0.530021421940828,0.91429543032588,0.872704206858466
"mmu.miR.30c.000419",-2.16486414516579,0.0433361491320958,52,0.0484409332275391,20,20,0.325476689744094,0.842446514525179,0.816257674863963
"mmu.miR.30d.000420",-2.63610571651689,0.0173336598422314,34,0.0236740112304688,19,19,0.0422890441117836,0.621969790830409,0.511007571504971
"mmu.miR.30e.002223",-1.13412565115997,0.270848947388868,71,0.216167449951172,20,20,0.26339836503729,0.865630726082129,0.881887117847946
"mmu.miR.31.000185",1.16280424087726,0.259306149280486,133,0.311794281005859,20,20,0.824359670090808,1.36984484845945,1.39306973783577
"mmu.miR.320.002277",0.507539571969276,0.617617138584258,90,0.595819473266602,20,20,1.43906910845467e-05,1.10793213320159,0.973492761582484
"mmu.miR.322.001076",-1.25302429876717,0.238703404574865,23,0.4130859375,15,13,0.000212290723411735,0.467902027452583,0.650031226313953
