"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.218.000521",-2.35088708804079,0.0482488164613142,3,0.0555555555555556,15,15,0.729443538813409,0.672622579851862,0.667287947708589
"mmu.miR.222.002276",-2.05797115235612,0.0863931513206535,3,0.0555555555555556,15,15,0.0543722262285508,0.767238529833869,0.740911539753546
"mmu.miR.224.002553",-2.55544276683342,0.0493573261465197,2,0.0317460317460317,13,14,0.112501162305006,0.552698154691274,0.564471454364231
"mmu.miR.23b.000400",-0.15604591054685,0.882004148707999,14,0.841269841269841,14,15,0.145496270367357,0.960448998071948,1.04727845733743
"mmu.miR.24.000402",-0.880951506443243,0.404299236794415,8,0.420634920634921,15,15,0.272590844894424,0.909225341314197,0.905226332195288
"mmu.miR.25.000403",0.657464686677022,0.532436477368266,16,0.547619047619048,15,15,0.00254490700655884,1.24878066620974,1.21772647787431
"mmu.miR.26a.000405",-0.206567337596778,0.841680544630958,10,0.69047619047619,15,15,0.29086006786834,0.979264497389441,0.975720039454167
"mmu.miR.26b.000407",-1.31096826355025,0.227609693117487,6,0.222222222222222,15,15,0.121232411706165,0.773956728749893,0.781019601336849
"mmu.miR.27a.000408",0.588664182549501,0.573381823159365,16,0.547619047619048,13,14,0.621644387922898,1.17627011432422,1.16256947194559
"mmu.miR.27b.000409",0.31589135009401,0.761410985980537,12,1,15,14,0.0465212477264491,1.05159972922527,1.0383271739773
"mmu.miR.28.000411",-1.8453751222361,0.112324462198574,6,0.222222222222222,14,14,0.187799612790402,0.612143477601188,0.616316995840203
"mmu.miR.29a.002112",-0.788697188088804,0.472369643545815,14,0.841269841269841,15,15,1.22796805818575e-06,0.226627518937252,1.08331932886357
"mmu.miR.29b.000413",0.382092984393527,0.715773060123673,12,1,11,13,0.269489075050972,1.15341171033971,1.03454252304063
"mmu.miR.29c.000587",0.883321679238429,0.411384923924853,17,0.420634920634921,15,15,0.91005045422992,1.12967257923458,1.1059261210495
"mmu.miR.301a.000528",1.17794901446634,0.274109497189897,17,0.420634920634921,15,15,0.0304367212161886,1.18631219642101,1.20258749093782
"mmu.miR.301b.002600",0.212122172609332,0.837352922922295,14,0.841269841269841,15,15,0.548835093470824,1.02819331225909,1.02479737596675
"mmu.miR.30a.000417",-0.891962993626695,0.398873124114256,9,0.547619047619048,15,15,0.97879239872343,0.946526301932383,0.947004377826601
"mmu.miR.30b.000602",-0.668850227716759,0.524932376452411,8,0.420634920634921,15,15,0.0107653508585633,0.881893943526527,0.894379606348773
"mmu.miR.30c.000419",-0.348088793882315,0.737831352042665,11,0.841269841269841,15,15,0.896080154219664,0.962916137863409,0.954034068652764
"mmu.miR.30d.000420",-1.19648488338146,0.270577669948994,7,0.30952380952381,15,14,0.282408374912952,0.822534304724628,0.831290642074084
"mmu.miR.30e.002223",0.865901177902111,0.418501210410069,18,0.30952380952381,15,15,0.928794020951057,1.101234196422,1.11752137337611
"mmu.miR.31.000185",2.20361099468769,0.0766725410900405,22,0.0555555555555556,15,15,0.0485002541956714,2.26757193136444,2.16196943614063
"mmu.miR.320.002277",-0.53214742202604,0.609235295713476,8,0.420634920634921,15,15,0.13852330974813,0.914674319796593,0.909055667367606
"mmu.miR.322.001076",-1.47946520623565,0.19663231717698,6,0.222222222222222,6,10,0.0159050526602472,0.400239099901554,0.402607220136727
"mmu.miR.324.5p.000539",-0.178324984973834,0.864020256753332,12,1,10,12,0.526824323579939,0.932558692936514,1.07480342416071
"mmu.miR.328.000543",0.0899221885882242,0.93058708369905,14,0.841269841269841,15,15,0.101628733023635,1.00919880155895,1.00581379425497
"mmu.miR.331.3p.000545",-0.79429173799592,0.451537605977761,9,0.547619047619048,15,15,0.883896141431575,0.903314568692739,0.908017731852292
"mmu.miR.340.3p.002259",0.907876182622514,0.390763880888803,16,0.547619047619048,13,14,0.82559715014926,1.22049547941087,1.24177058645645
"mmu.miR.340.5p.002258",0.219134770642386,0.832039420890976,15,0.69047619047619,13,13,0.240678137588214,1.07920508595723,1.13655985692404
"mmu.miR.342.3p.002260",-1.42479276740021,0.21345608826308,6,0.222222222222222,15,15,0.44807694819352,0.814600390671657,0.836192233472309
"mmu.miR.34b.3p.002618",0.3736841187531,0.718350360517918,14,0.841269841269841,12,12,0.238097522130512,1.19432574699419,1.34563143098515
"mmu.miR.365.001020",-1.64394489875806,0.151221753714836,6,0.222222222222222,15,15,0.143380033098599,0.5299067899521,0.559136945965997
"mmu.miR.375.000564",-0.713080482149035,0.49639970078596,9,0.547619047619048,15,15,0.78981387395261,0.917898277727099,0.915322397741602
"mmu.miR.423.5p.002340",-0.162355534523682,0.876251521140993,16,0.547619047619048,9,11,0.000788386177095687,0.876814033662694,1.38004380611343
"mmu.miR.429.001077",-2.50232924835408,0.0369459899115481,3,0.0555555555555556,10,14,0.939506317149215,0.534597776187399,0.437463604976983
"mmu.miR.484.001821",-0.068121626117587,0.94772484768557,13,1,15,15,0.936575329429317,0.991171069474177,1.00766365778127
"mmu.miR.532.3p.002355",0.154688243752993,0.883087665693359,14,0.841269841269841,15,14,0.977750620333578,1.02977098238989,1.09876804928415
"mmu.miR.532.5p.001518",0.0897686505061624,0.930678020514884,12,1,14,15,0.844473370988513,1.02366926331359,1.06446986080478
"mmu.miR.574.3p.002349",-1.33168374116746,0.229874445906126,6,0.222222222222222,15,15,0.0157429148886574,0.778823772094148,0.797275079696862
"mmu.miR.652.002352",0.8970308642009,0.396932953319845,18,0.30952380952381,15,14,0.20727137783176,1.22472040243767,1.21937404289274
"mmu.miR.671.3p.002322",0.295433501843699,0.775360162945869,15,0.69047619047619,11,11,0.279710848934328,1.10217289992416,1.19015652213027
